site,month_of_date_id,day_of_date_id,year_of_date_id,measure_names,person_type,supplier_type,measure_values
Site B,July,27,2017,Gross Booking Value,PM,Platform,53396.938259
Site A,July,28,2017,Gross Booking Value,PM,Platform,243919.267476
Site B,July,28,2017,Gross Booking Value,PM,Platform,58520.487532
Site A,July,29,2017,Gross Booking Value,PM,Platform,256818.853016
Site B,July,29,2017,Gross Booking Value,PM,Platform,36257.718107
Site A,July,30,2017,Gross Booking Value,PM,Platform,217403.481312
Site B,July,30,2017,Gross Booking Value,PM,Platform,47602.416301
Site A,July,31,2017,Gross Booking Value,PM,Platform,286837.613929
Site B,July,31,2017,Gross Booking Value,PM,Platform,68717.060374
Site A,June,1,2017,Gross Booking Value,PM,Platform,226613.613567
Site B,June,1,2017,Gross Booking Value,PM,Platform,44332.365385
Site A,June,2,2017,Gross Booking Value,PM,Platform,175657.614136
Site B,June,2,2017,Gross Booking Value,PM,Platform,38214.87829
Site A,June,3,2017,Gross Booking Value,PM,Platform,140808.997162
Site B,June,3,2017,Gross Booking Value,PM,Platform,53235.289706
Site A,June,4,2017,Gross Booking Value,PM,Platform,204975.238805
Site B,June,4,2017,Gross Booking Value,PM,Platform,57601.828934
Site A,June,5,2017,Gross Booking Value,PM,Platform,260346.7683
Site B,June,5,2017,Gross Booking Value,PM,Platform,68333.15286
Site A,June,6,2017,Gross Booking Value,PM,Platform,248345.547649
Site B,June,6,2017,Gross Booking Value,PM,Platform,108213.408725
Site A,June,7,2017,Gross Booking Value,PM,Platform,219491.61431
Site B,June,7,2017,Gross Booking Value,PM,Platform,76080.27076
Site A,June,8,2017,Gross Booking Value,PM,Platform,243958.544222
Site B,June,8,2017,Gross Booking Value,PM,Platform,45435.192592
Site A,June,9,2017,Gross Booking Value,PM,Platform,178606.511891
Site B,June,9,2017,Gross Booking Value,PM,Platform,58400.222065
Site A,June,10,2017,Gross Booking Value,PM,Platform,161169.284066
Site B,June,10,2017,Gross Booking Value,PM,Platform,74365.60218
Site A,June,11,2017,Gross Booking Value,PM,Platform,228721.496487
Site B,June,11,2017,Gross Booking Value,PM,Platform,61903.046176
Site A,June,12,2017,Gross Booking Value,PM,Platform,260466.230246
Site B,June,12,2017,Gross Booking Value,PM,Platform,99708.015483
Site A,June,13,2017,Gross Booking Value,PM,Platform,221540.549837
Site B,June,13,2017,Gross Booking Value,PM,Platform,40605.787995
Site A,June,14,2017,Gross Booking Value,PM,Platform,287173.278714
Site B,June,14,2017,Gross Booking Value,PM,Platform,81602.561049
Site A,June,15,2017,Gross Booking Value,PM,Platform,210555.17223
Site B,June,15,2017,Gross Booking Value,PM,Platform,70277.331566
Site A,June,16,2017,Gross Booking Value,PM,Platform,203660.294382
Site B,June,16,2017,Gross Booking Value,PM,Platform,47763.13721
Site A,June,17,2017,Gross Booking Value,PM,Platform,188646.589684
Site B,June,17,2017,Gross Booking Value,PM,Platform,28514.398703
Site A,June,18,2017,Gross Booking Value,PM,Platform,194124.596951
Site B,June,18,2017,Gross Booking Value,PM,Platform,44298.137936
Site A,June,19,2017,Gross Booking Value,PM,Platform,268965.203652
Site B,June,19,2017,Gross Booking Value,PM,Platform,57921.215783
Site A,June,20,2017,Gross Booking Value,PM,Platform,250448.15341
Site B,June,20,2017,Gross Booking Value,PM,Platform,50950.679702
Site A,June,21,2017,Gross Booking Value,PM,Platform,265457.559554
Site B,June,21,2017,Gross Booking Value,PM,Platform,67812.71767
Site A,June,22,2017,Gross Booking Value,PM,Platform,233266.465707
Site B,June,22,2017,Gross Booking Value,PM,Platform,62908.779549
Site A,June,23,2017,Gross Booking Value,PM,Platform,176200.551287
Site B,June,23,2017,Gross Booking Value,PM,Platform,69877.289345
Site A,June,24,2017,Gross Booking Value,PM,Platform,173704.38473
Site B,June,24,2017,Gross Booking Value,PM,Platform,45799.171592
Site A,June,25,2017,Gross Booking Value,PM,Platform,245631.994146
Site B,June,25,2017,Gross Booking Value,PM,Platform,79894.740698
Site A,June,26,2017,Gross Booking Value,PM,Platform,319593.350608
Site B,June,26,2017,Gross Booking Value,PM,Platform,59791.337959
Site A,June,27,2017,Gross Booking Value,PM,Platform,353185.830805
Site B,June,27,2017,Gross Booking Value,PM,Platform,80992.234971
Site A,June,28,2017,Gross Booking Value,PM,Platform,198268.153856
Site B,June,28,2017,Gross Booking Value,PM,Platform,49836.896455
Site A,June,29,2017,Gross Booking Value,PM,Platform,202775.705016
Site B,June,29,2017,Gross Booking Value,PM,Platform,57891.563261
Site A,June,30,2017,Gross Booking Value,PM,Platform,184857.38312
Site B,June,30,2017,Gross Booking Value,PM,Platform,43342.185513
Site A,May,1,2017,Gross Booking Value,PM,Platform,247417.701872
Site B,May,1,2017,Gross Booking Value,PM,Platform,91006.919152
Site A,May,2,2017,Gross Booking Value,PM,Platform,293688.799925
Site B,May,2,2017,Gross Booking Value,PM,Platform,92747.990748
Site A,May,3,2017,Gross Booking Value,PM,Platform,287500.093081
Site B,May,3,2017,Gross Booking Value,PM,Platform,74445.32829
Site A,May,4,2017,Gross Booking Value,PM,Platform,269385.863827
Site B,May,4,2017,Gross Booking Value,PM,Platform,68673.703701
Site A,May,5,2017,Gross Booking Value,PM,Platform,229165.76861
Site B,May,5,2017,Gross Booking Value,PM,Platform,50477.733825
Site A,May,6,2017,Gross Booking Value,PM,Platform,237320.788657
Site B,May,6,2017,Gross Booking Value,PM,Platform,62050.7599
Site A,May,7,2017,Gross Booking Value,PM,Platform,276413.273714
Site B,May,7,2017,Gross Booking Value,PM,Platform,73705.291368
Site A,May,8,2017,Gross Booking Value,PM,Platform,294155.319319
Site B,May,8,2017,Gross Booking Value,PM,Platform,88300.984377
Site A,May,9,2017,Gross Booking Value,PM,Platform,249313.212059
Site B,May,9,2017,Gross Booking Value,PM,Platform,106599.988359
Site A,May,10,2017,Gross Booking Value,PM,Platform,279047.033063
Site B,May,10,2017,Gross Booking Value,PM,Platform,68828.975674
Site A,May,11,2017,Gross Booking Value,PM,Platform,302900.619666
Site B,May,11,2017,Gross Booking Value,PM,Platform,78136.480581
Site A,May,12,2017,Gross Booking Value,PM,Platform,227885.202905
Site B,May,12,2017,Gross Booking Value,PM,Platform,55108.132224
Site A,May,13,2017,Gross Booking Value,PM,Platform,207722.050953
Site B,May,13,2017,Gross Booking Value,PM,Platform,59256.24533
Site A,May,14,2017,Gross Booking Value,PM,Platform,229164.044984
Site B,May,14,2017,Gross Booking Value,PM,Platform,43540.155685
Site A,May,15,2017,Gross Booking Value,PM,Platform,258165.266934
Site B,May,15,2017,Gross Booking Value,PM,Platform,56221.149414
Site A,May,16,2017,Gross Booking Value,PM,Platform,281513.053402
Site B,May,16,2017,Gross Booking Value,PM,Platform,78801.100418
Site A,May,17,2017,Gross Booking Value,PM,Platform,226031.993035
Site B,May,17,2017,Gross Booking Value,PM,Platform,64698.028174
Site A,May,18,2017,Gross Booking Value,PM,Platform,270770.267573
Site B,May,18,2017,Gross Booking Value,PM,Platform,64643.248501
Site A,May,19,2017,Gross Booking Value,PM,Platform,214364.16552
Site B,May,19,2017,Gross Booking Value,PM,Platform,42008.363692
Site A,May,20,2017,Gross Booking Value,PM,Platform,186613.443738
Site B,May,20,2017,Gross Booking Value,PM,Platform,49388.145551
Site A,May,21,2017,Gross Booking Value,PM,Platform,232434.519285
Site B,May,21,2017,Gross Booking Value,PM,Platform,43407.611661
Site A,May,22,2017,Gross Booking Value,PM,Platform,291620.415258
Site B,May,22,2017,Gross Booking Value,PM,Platform,54100.938128
Site A,May,23,2017,Gross Booking Value,PM,Platform,219082.620705
Site B,May,23,2017,Gross Booking Value,PM,Platform,49968.340782
Site A,May,24,2017,Gross Booking Value,PM,Platform,216426.503692
Site B,May,24,2017,Gross Booking Value,PM,Platform,50029.203883
Site A,May,25,2017,Gross Booking Value,PM,Platform,199965.94243
Site B,May,25,2017,Gross Booking Value,PM,Platform,52660.927156
Site A,May,26,2017,Gross Booking Value,PM,Platform,183838.098781
Site B,May,26,2017,Gross Booking Value,PM,Platform,60956.9297
Site A,May,27,2017,Gross Booking Value,PM,Platform,160767.049343
Site B,May,27,2017,Gross Booking Value,PM,Platform,43109.580993
Site A,May,28,2017,Gross Booking Value,PM,Platform,203901.592826
Site B,May,28,2017,Gross Booking Value,PM,Platform,60478.632249
Site A,May,29,2017,Gross Booking Value,PM,Platform,280842.566372
Site B,May,29,2017,Gross Booking Value,PM,Platform,50371.693629
Site A,May,30,2017,Gross Booking Value,PM,Platform,271535.216997
Site B,May,30,2017,Gross Booking Value,PM,Platform,53642.657886
Site A,May,31,2017,Gross Booking Value,PM,Platform,245292.704735
Site B,May,31,2017,Gross Booking Value,PM,Platform,41195.733337
Site A,July,1,2016,Inquiries,FRBO,Platform,1615.0
Site B,July,1,2016,Inquiries,FRBO,Platform,3022.0
Site A,July,2,2016,Inquiries,FRBO,Platform,2002.0
Site B,July,2,2016,Inquiries,FRBO,Platform,3741.0
Site A,July,3,2016,Inquiries,FRBO,Platform,2613.0
Site B,July,3,2016,Inquiries,FRBO,Platform,4947.0
Site A,July,4,2016,Inquiries,FRBO,Platform,2542.0
Site B,July,4,2016,Inquiries,FRBO,Platform,4769.0
Site A,July,5,2016,Inquiries,FRBO,Platform,2505.0
Site B,July,5,2016,Inquiries,FRBO,Platform,4807.0
Site A,July,6,2016,Inquiries,FRBO,Platform,2260.0
Site B,July,6,2016,Inquiries,FRBO,Platform,4408.0
Site A,July,7,2016,Inquiries,FRBO,Platform,2084.0
Site B,July,7,2016,Inquiries,FRBO,Platform,3878.0
Site A,July,8,2016,Inquiries,FRBO,Platform,1802.0
Site B,July,8,2016,Inquiries,FRBO,Platform,3536.0
Site A,July,9,2016,Inquiries,FRBO,Platform,2239.0
Site B,July,9,2016,Inquiries,FRBO,Platform,3383.0
Site A,July,10,2016,Inquiries,FRBO,Platform,2568.0
Site B,July,10,2016,Inquiries,FRBO,Platform,3948.0
Site A,July,11,2016,Inquiries,FRBO,Platform,2650.0
Site B,July,11,2016,Inquiries,FRBO,Platform,5060.0
Site A,July,12,2016,Inquiries,FRBO,Platform,2664.0
Site B,July,12,2016,Inquiries,FRBO,Platform,5050.0
Site A,July,13,2016,Inquiries,FRBO,Platform,2562.0
Site B,July,13,2016,Inquiries,FRBO,Platform,4623.0
Site A,July,14,2016,Inquiries,FRBO,Platform,2267.0
Site B,July,14,2016,Inquiries,FRBO,Platform,4925.0
Site A,July,15,2016,Inquiries,FRBO,Platform,1857.0
Site B,July,15,2016,Inquiries,FRBO,Platform,3476.0
Site A,July,16,2016,Inquiries,FRBO,Platform,2028.0
Site B,July,16,2016,Inquiries,FRBO,Platform,3206.0
Site A,July,17,2016,Inquiries,FRBO,Platform,2396.0
Site B,July,17,2016,Inquiries,FRBO,Platform,4174.0
Site A,July,18,2016,Inquiries,FRBO,Platform,2450.0
Site B,July,18,2016,Inquiries,FRBO,Platform,4867.0
Site A,July,19,2016,Inquiries,FRBO,Platform,2380.0
Site B,July,19,2016,Inquiries,FRBO,Platform,4522.0
Site A,July,20,2016,Inquiries,FRBO,Platform,2375.0
Site B,July,20,2016,Inquiries,FRBO,Platform,4640.0
Site A,July,21,2016,Inquiries,FRBO,Platform,2364.0
Site B,July,21,2016,Inquiries,FRBO,Platform,4591.0
Site A,July,22,2016,Inquiries,FRBO,Platform,1906.0
Site B,July,22,2016,Inquiries,FRBO,Platform,3905.0
Site A,July,23,2016,Inquiries,FRBO,Platform,1954.0
Site B,July,23,2016,Inquiries,FRBO,Platform,3793.0
Site A,July,24,2016,Inquiries,FRBO,Platform,2823.0
Site B,July,24,2016,Inquiries,FRBO,Platform,4500.0
Site A,July,25,2016,Inquiries,FRBO,Platform,2801.0
Site B,July,25,2016,Inquiries,FRBO,Platform,5343.0
Site A,July,26,2016,Inquiries,FRBO,Platform,2581.0
Site B,July,26,2016,Inquiries,FRBO,Platform,5007.0
Site A,July,27,2016,Inquiries,FRBO,Platform,2477.0
Site B,July,27,2016,Inquiries,FRBO,Platform,5064.0
Site A,July,28,2016,Inquiries,FRBO,Platform,2508.0
Site B,July,28,2016,Inquiries,FRBO,Platform,4576.0
Site A,July,29,2016,Inquiries,FRBO,Platform,1985.0
Site B,July,29,2016,Inquiries,FRBO,Platform,4024.0
Site A,July,30,2016,Inquiries,FRBO,Platform,1673.0
Site B,July,30,2016,Inquiries,FRBO,Platform,3174.0
Site A,July,31,2016,Inquiries,FRBO,Platform,2467.0
Site B,July,31,2016,Inquiries,FRBO,Platform,4792.0
Site A,June,1,2016,Inquiries,FRBO,Platform,2593.0
Site B,June,1,2016,Inquiries,FRBO,Platform,3946.0
Site A,June,2,2016,Inquiries,FRBO,Platform,2236.0
Site B,June,2,2016,Inquiries,FRBO,Platform,3760.0
Site A,June,3,2016,Inquiries,FRBO,Platform,1952.0
Site B,June,3,2016,Inquiries,FRBO,Platform,2976.0
Site A,June,4,2016,Inquiries,FRBO,Platform,2143.0
Site B,June,4,2016,Inquiries,FRBO,Platform,3178.0
Site A,June,5,2016,Inquiries,FRBO,Platform,2294.0
Site B,June,5,2016,Inquiries,FRBO,Platform,4683.0
Site A,June,6,2016,Inquiries,FRBO,Platform,2232.0
Site B,June,6,2016,Inquiries,FRBO,Platform,4162.0
Site A,June,7,2016,Inquiries,FRBO,Platform,2422.0
Site B,June,7,2016,Inquiries,FRBO,Platform,4133.0
Site A,June,8,2016,Inquiries,FRBO,Platform,2365.0
Site B,June,8,2016,Inquiries,FRBO,Platform,4016.0
Site A,June,9,2016,Inquiries,FRBO,Platform,2368.0
Site B,June,9,2016,Inquiries,FRBO,Platform,3826.0
Site A,June,10,2016,Inquiries,FRBO,Platform,1878.0
Site B,June,10,2016,Inquiries,FRBO,Platform,2892.0
Site A,June,11,2016,Inquiries,FRBO,Platform,2279.0
Site B,June,11,2016,Inquiries,FRBO,Platform,3511.0
Site A,June,12,2016,Inquiries,FRBO,Platform,3009.0
Site B,June,12,2016,Inquiries,FRBO,Platform,5756.0
Site A,June,13,2016,Inquiries,FRBO,Platform,2804.0
Site B,June,13,2016,Inquiries,FRBO,Platform,5150.0
Site A,June,14,2016,Inquiries,FRBO,Platform,2586.0
Site B,June,14,2016,Inquiries,FRBO,Platform,4495.0
Site A,June,15,2016,Inquiries,FRBO,Platform,2480.0
Site B,June,15,2016,Inquiries,FRBO,Platform,4040.0
Site A,June,16,2016,Inquiries,FRBO,Platform,2074.0
Site B,June,16,2016,Inquiries,FRBO,Platform,3646.0
Site A,June,17,2016,Inquiries,FRBO,Platform,1768.0
Site B,June,17,2016,Inquiries,FRBO,Platform,2886.0
Site A,June,18,2016,Inquiries,FRBO,Platform,1859.0
Site B,June,18,2016,Inquiries,FRBO,Platform,3335.0
Site A,June,19,2016,Inquiries,FRBO,Platform,2520.0
Site B,June,19,2016,Inquiries,FRBO,Platform,4267.0
Site A,June,20,2016,Inquiries,FRBO,Platform,2545.0
Site B,June,20,2016,Inquiries,FRBO,Platform,4653.0
Site A,June,21,2016,Inquiries,FRBO,Platform,2445.0
Site B,June,21,2016,Inquiries,FRBO,Platform,4296.0
Site A,June,22,2016,Inquiries,FRBO,Platform,2313.0
Site B,June,22,2016,Inquiries,FRBO,Platform,3809.0
Site A,June,23,2016,Inquiries,FRBO,Platform,1930.0
Site B,June,23,2016,Inquiries,FRBO,Platform,3367.0
Site A,June,24,2016,Inquiries,FRBO,Platform,1407.0
Site B,June,24,2016,Inquiries,FRBO,Platform,2634.0
Site A,June,25,2016,Inquiries,FRBO,Platform,1591.0
Site B,June,25,2016,Inquiries,FRBO,Platform,2928.0
Site A,June,26,2016,Inquiries,FRBO,Platform,2486.0
Site B,June,26,2016,Inquiries,FRBO,Platform,4394.0
Site A,June,27,2016,Inquiries,FRBO,Platform,2173.0
Site B,June,27,2016,Inquiries,FRBO,Platform,4460.0
Site A,June,28,2016,Inquiries,FRBO,Platform,2074.0
Site B,June,28,2016,Inquiries,FRBO,Platform,4436.0
Site A,June,29,2016,Inquiries,FRBO,Platform,2265.0
Site B,June,29,2016,Inquiries,FRBO,Platform,4335.0
Site A,June,30,2016,Inquiries,FRBO,Platform,2072.0
Site B,June,30,2016,Inquiries,FRBO,Platform,3828.0
Site A,May,1,2016,Inquiries,FRBO,Platform,2465.0
Site B,May,1,2016,Inquiries,FRBO,Platform,6062.0
Site A,May,2,2016,Inquiries,FRBO,Platform,3214.0
Site B,May,2,2016,Inquiries,FRBO,Platform,5700.0
Site A,May,3,2016,Inquiries,FRBO,Platform,2638.0
Site B,May,3,2016,Inquiries,FRBO,Platform,5081.0
Site A,May,4,2016,Inquiries,FRBO,Platform,2352.0
Site B,May,4,2016,Inquiries,FRBO,Platform,4269.0
Site A,May,5,2016,Inquiries,FRBO,Platform,2234.0
Site B,May,5,2016,Inquiries,FRBO,Platform,4085.0
Site A,May,6,2016,Inquiries,FRBO,Platform,1862.0
Site B,May,6,2016,Inquiries,FRBO,Platform,3468.0
Site A,May,7,2016,Inquiries,FRBO,Platform,2068.0
Site B,May,7,2016,Inquiries,FRBO,Platform,3706.0
Site A,May,8,2016,Inquiries,FRBO,Platform,2700.0
Site B,May,8,2016,Inquiries,FRBO,Platform,5150.0
Site A,May,9,2016,Inquiries,FRBO,Platform,2431.0
Site B,May,9,2016,Inquiries,FRBO,Platform,5123.0
Site A,May,10,2016,Inquiries,FRBO,Platform,2534.0
Site B,May,10,2016,Inquiries,FRBO,Platform,4824.0
Site A,May,11,2016,Inquiries,FRBO,Platform,2455.0
Site B,May,11,2016,Inquiries,FRBO,Platform,5255.0
Site A,May,12,2016,Inquiries,FRBO,Platform,2227.0
Site B,May,12,2016,Inquiries,FRBO,Platform,4406.0
Site A,May,13,2016,Inquiries,FRBO,Platform,1986.0
Site B,May,13,2016,Inquiries,FRBO,Platform,3314.0
Site A,May,14,2016,Inquiries,FRBO,Platform,1982.0
Site B,May,14,2016,Inquiries,FRBO,Platform,3386.0
Site A,May,15,2016,Inquiries,FRBO,Platform,2617.0
Site B,May,15,2016,Inquiries,FRBO,Platform,4158.0
Site A,May,16,2016,Inquiries,FRBO,Platform,2475.0
Site B,May,16,2016,Inquiries,FRBO,Platform,5511.0
Site A,May,17,2016,Inquiries,FRBO,Platform,2518.0
Site B,May,17,2016,Inquiries,FRBO,Platform,4659.0
Site A,May,18,2016,Inquiries,FRBO,Platform,2718.0
Site B,May,18,2016,Inquiries,FRBO,Platform,4709.0
Site A,May,19,2016,Inquiries,FRBO,Platform,2361.0
Site B,May,19,2016,Inquiries,FRBO,Platform,4119.0
Site A,May,20,2016,Inquiries,FRBO,Platform,1946.0
Site B,May,20,2016,Inquiries,FRBO,Platform,3253.0
Site A,May,21,2016,Inquiries,FRBO,Platform,2439.0
Site B,May,21,2016,Inquiries,FRBO,Platform,2930.0
Site A,May,22,2016,Inquiries,FRBO,Platform,2832.0
Site B,May,22,2016,Inquiries,FRBO,Platform,5731.0
Site A,May,23,2016,Inquiries,FRBO,Platform,2652.0
Site B,May,23,2016,Inquiries,FRBO,Platform,4909.0
Site A,May,24,2016,Inquiries,FRBO,Platform,2514.0
Site B,May,24,2016,Inquiries,FRBO,Platform,4094.0
Site A,May,25,2016,Inquiries,FRBO,Platform,2299.0
Site B,May,25,2016,Inquiries,FRBO,Platform,4404.0
Site A,May,26,2016,Inquiries,FRBO,Platform,2096.0
Site B,May,26,2016,Inquiries,FRBO,Platform,3736.0
Site A,May,27,2016,Inquiries,FRBO,Platform,1681.0
Site B,May,27,2016,Inquiries,FRBO,Platform,2693.0
Site A,May,28,2016,Inquiries,FRBO,Platform,1675.0
Site B,May,28,2016,Inquiries,FRBO,Platform,2714.0
Site A,May,29,2016,Inquiries,FRBO,Platform,2135.0
Site B,May,29,2016,Inquiries,FRBO,Platform,4767.0
Site A,May,30,2016,Inquiries,FRBO,Platform,2818.0
Site B,May,30,2016,Inquiries,FRBO,Platform,4416.0
Site A,May,31,2016,Inquiries,FRBO,Platform,2709.0
Site B,May,31,2016,Inquiries,FRBO,Platform,4411.0
Site A,July,1,2017,Inquiries,FRBO,Platform,2159.0
Site B,July,1,2017,Inquiries,FRBO,Platform,2059.0
Site A,July,2,2017,Inquiries,FRBO,Platform,2768.0
Site B,July,2,2017,Inquiries,FRBO,Platform,3077.0
Site A,July,3,2017,Inquiries,FRBO,Platform,2739.0
Site B,July,3,2017,Inquiries,FRBO,Platform,2706.0
Site A,July,4,2017,Inquiries,FRBO,Platform,2713.0
Site B,July,4,2017,Inquiries,FRBO,Platform,2483.0
Site A,July,5,2017,Inquiries,FRBO,Platform,2443.0
Site B,July,5,2017,Inquiries,FRBO,Platform,2368.0
Site A,July,6,2017,Inquiries,FRBO,Platform,2206.0
Site B,July,6,2017,Inquiries,FRBO,Platform,2261.0
Site A,July,7,2017,Inquiries,FRBO,Platform,1955.0
Site B,July,7,2017,Inquiries,FRBO,Platform,1871.0
Site A,July,8,2017,Inquiries,FRBO,Platform,2024.0
Site B,July,8,2017,Inquiries,FRBO,Platform,1913.0
Site A,July,9,2017,Inquiries,FRBO,Platform,2740.0
Site B,July,9,2017,Inquiries,FRBO,Platform,2983.0
Site A,July,10,2017,Inquiries,FRBO,Platform,2675.0
Site B,July,10,2017,Inquiries,FRBO,Platform,2741.0
Site A,July,11,2017,Inquiries,FRBO,Platform,2692.0
Site B,July,11,2017,Inquiries,FRBO,Platform,2590.0
Site A,July,12,2017,Inquiries,FRBO,Platform,2607.0
Site B,July,12,2017,Inquiries,FRBO,Platform,2474.0
Site A,July,13,2017,Inquiries,FRBO,Platform,2274.0
Site B,July,13,2017,Inquiries,FRBO,Platform,1921.0
Site A,July,14,2017,Inquiries,FRBO,Platform,1950.0
Site B,July,14,2017,Inquiries,FRBO,Platform,1796.0
Site A,July,15,2017,Inquiries,FRBO,Platform,2140.0
Site B,July,15,2017,Inquiries,FRBO,Platform,1587.0
Site A,July,16,2017,Inquiries,FRBO,Platform,2501.0
Site B,July,16,2017,Inquiries,FRBO,Platform,2299.0
Site A,July,17,2017,Inquiries,FRBO,Platform,2565.0
Site B,July,17,2017,Inquiries,FRBO,Platform,2410.0
Site A,July,18,2017,Inquiries,FRBO,Platform,2470.0
Site B,July,18,2017,Inquiries,FRBO,Platform,2360.0
Site A,July,19,2017,Inquiries,FRBO,Platform,2640.0
Site B,July,19,2017,Inquiries,FRBO,Platform,2499.0
Site A,July,20,2017,Inquiries,FRBO,Platform,2413.0
Site B,July,20,2017,Inquiries,FRBO,Platform,2168.0
Site A,July,21,2017,Inquiries,FRBO,Platform,2003.0
Site B,July,21,2017,Inquiries,FRBO,Platform,2069.0
Site A,July,22,2017,Inquiries,FRBO,Platform,2232.0
Site B,July,22,2017,Inquiries,FRBO,Platform,2021.0
Site A,July,23,2017,Inquiries,FRBO,Platform,2802.0
Site B,July,23,2017,Inquiries,FRBO,Platform,2393.0
Site A,July,24,2017,Inquiries,FRBO,Platform,2644.0
Site B,July,24,2017,Inquiries,FRBO,Platform,2559.0
Site A,July,25,2017,Inquiries,FRBO,Platform,2538.0
Site B,July,25,2017,Inquiries,FRBO,Platform,2558.0
Site A,July,26,2017,Inquiries,FRBO,Platform,2605.0
Site B,July,26,2017,Inquiries,FRBO,Platform,2456.0
Site A,July,27,2017,Inquiries,FRBO,Platform,2258.0
Site B,July,27,2017,Inquiries,FRBO,Platform,2335.0
Site A,July,28,2017,Inquiries,FRBO,Platform,2107.0
Site B,July,28,2017,Inquiries,FRBO,Platform,1958.0
Site A,July,29,2017,Inquiries,FRBO,Platform,2332.0
Site B,July,29,2017,Inquiries,FRBO,Platform,1830.0
Site A,July,30,2017,Inquiries,FRBO,Platform,2800.0
Site B,July,30,2017,Inquiries,FRBO,Platform,2417.0
Site A,July,31,2017,Inquiries,FRBO,Platform,2620.0
Site B,July,31,2017,Inquiries,FRBO,Platform,2629.0
Site A,June,1,2017,Inquiries,FRBO,Platform,1902.0
Site B,June,1,2017,Inquiries,FRBO,Platform,2067.0
Site A,June,2,2017,Inquiries,FRBO,Platform,1873.0
Site B,June,2,2017,Inquiries,FRBO,Platform,1705.0
Site A,June,3,2017,Inquiries,FRBO,Platform,1905.0
Site B,June,3,2017,Inquiries,FRBO,Platform,1682.0
Site A,June,4,2017,Inquiries,FRBO,Platform,2310.0
Site B,June,4,2017,Inquiries,FRBO,Platform,2225.0
Site A,June,5,2017,Inquiries,FRBO,Platform,2459.0
Site B,June,5,2017,Inquiries,FRBO,Platform,3024.0
Site A,June,6,2017,Inquiries,FRBO,Platform,2511.0
Site B,June,6,2017,Inquiries,FRBO,Platform,2566.0
Site A,June,7,2017,Inquiries,FRBO,Platform,2155.0
Site B,June,7,2017,Inquiries,FRBO,Platform,2438.0
Site A,June,8,2017,Inquiries,FRBO,Platform,1948.0
Site B,June,8,2017,Inquiries,FRBO,Platform,2201.0
Site A,June,9,2017,Inquiries,FRBO,Platform,1895.0
Site B,June,9,2017,Inquiries,FRBO,Platform,1850.0
Site A,June,10,2017,Inquiries,FRBO,Platform,1926.0
Site B,June,10,2017,Inquiries,FRBO,Platform,1939.0
Site A,June,11,2017,Inquiries,FRBO,Platform,2662.0
Site B,June,11,2017,Inquiries,FRBO,Platform,2849.0
Site A,June,12,2017,Inquiries,FRBO,Platform,2725.0
Site B,June,12,2017,Inquiries,FRBO,Platform,2904.0
Site A,June,13,2017,Inquiries,FRBO,Platform,2452.0
Site B,June,13,2017,Inquiries,FRBO,Platform,2494.0
Site A,June,14,2017,Inquiries,FRBO,Platform,2272.0
Site B,June,14,2017,Inquiries,FRBO,Platform,2564.0
Site A,June,15,2017,Inquiries,FRBO,Platform,1915.0
Site B,June,15,2017,Inquiries,FRBO,Platform,2219.0
Site A,June,16,2017,Inquiries,FRBO,Platform,1776.0
Site B,June,16,2017,Inquiries,FRBO,Platform,1817.0
Site A,June,17,2017,Inquiries,FRBO,Platform,1498.0
Site B,June,17,2017,Inquiries,FRBO,Platform,1871.0
Site A,June,18,2017,Inquiries,FRBO,Platform,2163.0
Site B,June,18,2017,Inquiries,FRBO,Platform,2630.0
Site A,June,19,2017,Inquiries,FRBO,Platform,2351.0
Site B,June,19,2017,Inquiries,FRBO,Platform,2550.0
Site A,June,20,2017,Inquiries,FRBO,Platform,2450.0
Site B,June,20,2017,Inquiries,FRBO,Platform,2422.0
Site A,June,21,2017,Inquiries,FRBO,Platform,2404.0
Site B,June,21,2017,Inquiries,FRBO,Platform,2545.0
Site A,June,22,2017,Inquiries,FRBO,Platform,2339.0
Site B,June,22,2017,Inquiries,FRBO,Platform,1912.0
Site A,June,23,2017,Inquiries,FRBO,Platform,2001.0
Site B,June,23,2017,Inquiries,FRBO,Platform,1693.0
Site A,June,24,2017,Inquiries,FRBO,Platform,2185.0
Site B,June,24,2017,Inquiries,FRBO,Platform,1916.0
Site A,June,25,2017,Inquiries,FRBO,Platform,2697.0
Site B,June,25,2017,Inquiries,FRBO,Platform,2551.0
Site A,June,26,2017,Inquiries,FRBO,Platform,2688.0
Site B,June,26,2017,Inquiries,FRBO,Platform,2473.0
Site A,June,27,2017,Inquiries,FRBO,Platform,2774.0
Site B,June,27,2017,Inquiries,FRBO,Platform,2418.0
Site A,June,28,2017,Inquiries,FRBO,Platform,2654.0
Site B,June,28,2017,Inquiries,FRBO,Platform,2347.0
Site A,June,29,2017,Inquiries,FRBO,Platform,2261.0
Site B,June,29,2017,Inquiries,FRBO,Platform,2135.0
Site A,June,30,2017,Inquiries,FRBO,Platform,1988.0
Site B,June,30,2017,Inquiries,FRBO,Platform,1866.0
Site A,May,1,2017,Inquiries,FRBO,Platform,2828.0
Site B,May,1,2017,Inquiries,FRBO,Platform,3271.0
Site A,May,2,2017,Inquiries,FRBO,Platform,2270.0
Site B,May,2,2017,Inquiries,FRBO,Platform,2441.0
